,date,amount,positive_transactions,negative_transactions,balance_per_day,sum_outgoing_next_30_days,sum_income_next_30_days,negative_transaction_last_1_month,positive_transaction_last_1_month,negative_transaction_last_2_month,positive_transaction_last_2_month,negative_transaction_last_3_month,positive_transaction_last_3_month,negative_transaction_last_4_month,positive_transaction_last_4_month,negative_transaction_last_5_month,positive_transaction_last_5_month,negative_transaction_last_6_month,positive_transaction_last_6_month
0,2021-04-14,0.0,0.0,0.0,18.359999999999943,-3225.94,3215.5,-1585.2,1587.0,-1000.0,1000.0,-1070.29,1066.0,-3562.99,1828.0,-102.0,1841.0,-5037.0,1952.0
30,2021-05-14,0.0,0.0,0.0,7.919999999999959,-5186.099999999999,5185.8,-3225.94,3215.5,-1585.2,1587.0,-1000.0,1000.0,-1070.29,1066.0,-3562.99,1828.0,-102.0,1841.0
0,2021-05-08,0.0,165.0,-165.0,4.409999999999954,-835.0,831.0,-7165.8099999999995,7165.0,-556.54,205.0,-9818.04,10252.33,-4768.09,4770.4,-5929.040000000001,5896.49,-747.3199999999998,770.0
0,2021-03-10,-316.98,532.92,-849.9,1962.7100000000019,-11866.82,14875.79,-15941.459999999997,16689.22,-12972.15,12515.82,-9490.21,8749.920000000002,-15066.059999999998,9488.18,-11310.980000000001,10098.090000000002,-4196.96,12120.28
30,2021-04-09,820.8299999999999,1318.9299999999998,-498.1,3833.8700000000017,-11306.210000000001,8283.15,-11866.82,14875.79,-15941.459999999997,16689.22,-12972.15,12515.82,-9490.21,8749.920000000002,-15066.059999999998,9488.18,-11310.980000000001,10098.090000000002
60,2021-05-09,-30.02,0.0,-30.02,1661.6600000000017,-10175.22,11112.18,-11306.210000000001,8283.15,-11866.82,14875.79,-15941.459999999997,16689.22,-12972.15,12515.82,-9490.21,8749.920000000002,-15066.059999999998,9488.18
0,2020-09-05,0.0,0.0,0.0,2.1099999999993315,-973.2200000000003,2021.95,-3699.6800000000003,1823.59,-1171.4,1103.11,-1176.7800000000002,1000.0,-1044.53,2015.89,-99.9,1000.0,-19.689999999999998,250.0
30,2020-10-05,-107.83,0.0,-107.83,1157.1699999999994,-3908.24,4729.83,-973.2200000000003,2021.95,-3699.6800000000003,1823.59,-1171.4,1103.11,-1176.7800000000002,1000.0,-1044.53,2015.89,-99.9,1000.0
60,2020-11-04,6.3,6.3,0.0,1864.6299999999999,-5013.03,3475.7700000000004,-3908.24,4729.83,-973.2200000000003,2021.95,-3699.6800000000003,1823.59,-1171.4,1103.11,-1176.7800000000002,1000.0,-1044.53,2015.89
90,2020-12-04,150.0,150.0,0.0,183.67000000000013,-4411.79,4157.1,-5013.03,3475.7700000000004,-3908.24,4729.83,-973.2200000000003,2021.95,-3699.6800000000003,1823.59,-1171.4,1103.11,-1176.7800000000002,1000.0
