id,balance,update_date
0,13.63,2021-07-02
1,12.91,2021-07-02
4,2806.75,2021-07-02
7,0.38,2021-07-02
8,25.04,2021-07-02
10,-4.31,2021-07-02
12,2236.88,2021-07-02
15,8857.9,2021-07-02
16,129.9,2021-07-02
17,1.0,2021-07-02
18,3.81,2021-07-02
19,282.72,2021-07-02
23,1470.48,2021-07-02
25,595.98,2021-07-02
26,33932.5,2021-07-02
27,3867.66,2021-07-02
28,213.46,2021-07-02
29,2198.02,2021-07-02
31,4.1,2021-07-02
35,31256.46,2021-07-02
37,3.11,2021-07-02
38,5008.53,2021-07-02
39,492.22,2021-07-02
40,38651.23,2021-07-02
41,327.21,2021-07-02
45,-147.88,2021-07-02
46,249.15,2021-07-02
47,52.46,2021-07-02
48,53.11,2021-07-02
49,56.88,2021-07-02
50,0.13,2021-07-02
51,22.14,2021-07-02
53,396.57,2021-07-02
54,735.0,2021-07-02
55,67.39,2021-07-02
57,2600.37,2021-07-02
58,0.47,2021-07-02
59,26842.66,2021-07-02
61,71.68,2021-07-02
62,317.36,2021-07-02
64,88.85,2021-07-02
65,-454.77,2021-07-02
68,-571.13,2021-07-02
74,18.35,2021-07-02
80,54.43,2021-07-02
81,30.35,2021-07-02
83,96.96,2021-07-02
84,500.62,2021-07-02
85,10.42,2021-07-02
90,132.07,2021-07-02
91,996.3,2021-07-02
92,14.62,2021-07-02
93,412.8,2021-07-02
94,293.28,2021-07-02
96,2.87,2021-07-02
97,15.9,2021-07-02
99,907.0,2021-07-02
100,65.72,2021-07-02
101,10066.4,2021-07-02
106,-1172.86,2021-07-02
107,1.09,2021-07-02
109,-206.71,2021-07-02
110,42974.05,2021-07-02
111,18813.33,2021-07-02
112,4190.12,2021-07-02
116,411.47,2021-07-02
118,62.58,2021-07-02
123,1721.38,2021-07-02
124,0.19,2021-07-02
126,-280.63,2021-07-02
127,828.11,2021-07-02
128,2424.41,2021-07-02
129,126.0,2021-07-02
131,-1175.89,2021-07-02
133,202.21,2021-07-02
134,82.3,2021-07-02
141,2276.1,2021-07-02
143,0.46,2021-07-02
144,0.6,2021-07-02
145,1.86,2021-07-02
147,-30.38,2021-07-02
148,-3402.47,2021-07-02
149,1218.02,2021-07-02
150,47025.47,2021-07-02
152,-1490.07,2021-07-02
155,-156.55,2021-07-02
156,59.7,2021-07-02
157,701.91,2021-07-02
158,283.24,2021-07-02
